DTE,MARKETINGCHANNELGROUP,USER_ID,FIRST_PRCHS_DATE,GENRE_CAT_FINAL,ARTISTCATEGORY,TICKETSSOLDFP,GMSFP,GCFS,M12TICKETSSOLD,M12GMS
4,Unknown,"2,928,307",01/27/2016 00:00:00,Theater,4.200-600,7,367,1,"53,233","4,118,637"
23,Unknown,"2,928,307",01/08/2016 00:00:00,Theater,4.200-600,4,225,1,"54,585","4,190,266"
2,SEO,"2,928,307",01/01/2016 00:00:00,Theater,3.100-200,4,277,1,"54,950","4,225,732"
10,Paid Search,"2,928,307",01/22/2016 00:00:00,Theater,4.200-600,1,42,1,"53,786","4,150,976"
118,Paid Search,"82,398,596",01/05/2016 00:00:00,Theater,4.200-600,2,162,1,"21,903","2,357,034"
8,Unknown,"1,357,763",01/12/2016 00:00:00,Theater,1.TOP 50,4,361,1,"27,197","3,753,750"
172,SEO,"1,357,763",01/13/2016 00:00:00,Theater,1.TOP 50,2,918,1,"27,135","3,746,483"
23,Unknown,"651,296",01/26/2016 00:00:00,Theater,3.100-200,4,333,1,"4,434","2,888,782"
5,SEO,"215,231",01/27/2016 00:00:00,Theater,4.200-600,2,432,1,"87,638","15,994,116"
90,Unknown,"10,521,681",01/24/2016 00:00:00,Theater,3.100-200,2,239,1,"115,561","14,334,835"
6,Unknown,"10,521,681",01/26/2016 00:00:00,Theater,4.200-600,4,473,1,"115,497","14,346,684"
24,SEO,"10,521,681",01/20/2016 00:00:00,Theater,3.100-200,2,286,1,"115,097","14,128,660"
0,Unknown,"16,324,604",01/24/2016 00:00:00,Theater,3.100-200,4,535,1,"28,690","2,301,280"
2,SEO,"8,528,501",01/15/2016 00:00:00,Theater,6.>1000,2,390,1,"2,835","1,218,113"
12,SEO,"9,299,768",01/18/2016 00:00:00,Theater,1.TOP 50,1,29,1,"147,389","14,393,354"
10,Paid Search,"169,808",01/21/2016 00:00:00,Theater,4.200-600,4,497,1,"12,665","1,515,478"
28,Unknown,"8,128,615",01/31/2016 00:00:00,Theater,4.200-600,2,532,1,"1,958","457,431"
6,Unknown,"108,256",01/04/2016 00:00:00,Theater,5.600-1000,2,209,1,"22,948","3,281,793"
30,SEO,"108,256",01/28/2016 00:00:00,Theater,6.>1000,4,489,1,"22,128","3,227,774"
38,SEO,"108,256",01/12/2016 00:00:00,Theater,4.200-600,2,268,1,"22,756","3,262,261"
10,Unknown,"108,256",01/28/2016 00:00:00,Theater,3.100-200,3,363,1,"22,128","3,227,774"
61,Unknown,"358,797",01/26/2016 00:00:00,Theater,4.200-600,2,333,1,"1,037","190,950"
54,SEO,"2,672,781",01/03/2016 00:00:00,Theater,4.200-600,4,524,1,"19,015","2,131,363"
6,Unknown,"2,672,781",01/08/2016 00:00:00,Theater,1.TOP 50,1,133,1,"18,955","2,126,574"
4,Unknown,"358,273",01/21/2016 00:00:00,Theater,5.600-1000,2,356,1,"24,752","3,730,941"
14,SEO,"358,273",01/11/2016 00:00:00,Theater,5.600-1000,2,450,1,"24,442","3,714,810"
68,Unknown,"8,653,489",01/05/2016 00:00:00,Theater,4.200-600,2,166,1,"18,807","2,508,441"
29,Paid Search,"544,115",01/17/2016 00:00:00,Theater,5.600-1000,2,213,1,"2,705","229,250"
8,SEO,"329,226",01/29/2016 00:00:00,Theater,4.200-600,2,197,1,"27,724","5,148,375"
2,SEO,"1,351,969",01/22/2016 00:00:00,Theater,4.200-600,2,134,1,"5,027","625,623"
21,Unknown,"82,265,682",01/25/2016 00:00:00,Theater,4.200-600,2,330,1,"2,064","261,903"
214,Unknown,"318,985",01/12/2016 00:00:00,Theater,1.TOP 50,2,"1,175",1,"2,046,571","213,546,138"
17,Paid Search,"318,985",01/15/2016 00:00:00,Theater,6.>1000,3,123,1,"2,045,767","213,532,948"
130,Paid Search,"318,985",01/13/2016 00:00:00,Theater,1.TOP 50,2,947,1,"2,046,480","213,568,518"
1,Paid Search,"318,985",01/15/2016 00:00:00,Theater,5.600-1000,7,104,1,"2,045,767","213,532,948"
33,Paid Search,"318,985",01/11/2016 00:00:00,Theater,1.TOP 50,2,344,1,"2,047,218","213,612,617"
4,Unknown,"5,314,684",01/07/2016 00:00:00,Theater,6.>1000,3,77,1,"42,776","3,402,314"
5,Unknown,"11,362,092",01/26/2016 00:00:00,Theater,6.>1000,2,138,1,"113,417","6,735,440"
38,Paid Search,"214,134",01/14/2016 00:00:00,Theater,4.200-600,3,629,1,"9,007","1,428,473"
10,Unknown,"576,912",01/14/2016 00:00:00,Theater,4.200-600,2,154,1,"65,883","19,807,185"
23,Unknown,"463,864",01/05/2016 00:00:00,Theater,1.TOP 50,2,798,1,"13,188","1,876,791"
51,Paid Search,"84,341,725",01/29/2016 00:00:00,Theater,1.TOP 50,2,445,1,"1,112","216,619"
48,Unknown,"9,395,515",01/12/2016 00:00:00,Theater,4.200-600,2,253,1,"82,228","8,869,439"
1,Unknown,"215,231",01/03/2016 00:00:00,Theater,3.100-200,2,122,1,"88,455","16,249,454"
4,Unknown,"215,231",01/28/2016 00:00:00,Theater,4.200-600,3,648,1,"87,674","15,993,545"
3,Unknown,"8,934,978",01/26/2016 00:00:00,Theater,3.100-200,2,260,1,"1,728","337,100"
210,Paid Search,"329,586",01/08/2016 00:00:00,Theater,1.TOP 50,2,440,1,"19,075","8,483,905"
55,Paid Search,"329,586",01/08/2016 00:00:00,Theater,1.TOP 50,2,558,1,"19,075","8,483,905"
5,Paid Search,"162,377",01/26/2016 00:00:00,Theater,6.>1000,3,246,1,"211,473","27,392,829"
45,SEO,"162,377",01/15/2016 00:00:00,Theater,2.50-100,2,209,1,"214,653","27,461,456"
1,Paid Search,"83,357,176",01/08/2016 00:00:00,Theater,4.200-600,1,90,1,"9,730","661,701"
33,Unknown,"32,440,434",01/11/2016 00:00:00,Theater,5.600-1000,3,464,1,"2,266","517,738"
34,Paid Search,"414,463",01/11/2016 00:00:00,Theater,1.TOP 50,2,"1,649",1,"35,171","8,553,225"
8,SEO,"2,672,781",01/26/2016 00:00:00,Theater,3.100-200,3,286,1,"18,883","2,128,464"
32,Unknown,"2,928,307",01/20/2016 00:00:00,Theater,3.100-200,3,197,1,"54,014","4,162,728"
5,Paid Search,"2,928,307",01/24/2016 00:00:00,Theater,4.200-600,5,251,1,"53,360","4,128,423"
1,Unknown,"2,928,307",01/31/2016 00:00:00,Theater,4.200-600,22,"1,160",1,"52,814","4,090,009"
1,SEO,"2,928,307",01/03/2016 00:00:00,Theater,4.200-600,2,74,1,"54,737","4,211,354"
9,Paid Search,"2,928,307",01/29/2016 00:00:00,Theater,6.>1000,4,220,1,"53,242","4,115,371"
22,Unknown,"1,187,534",01/15/2016 00:00:00,Theater,5.600-1000,2,186,1,679,"70,780"
21,Paid Search,"2,911,815",01/20/2016 00:00:00,Theater,1.TOP 50,2,429,1,"6,609","848,274"
1,Paid Search,"567,032",01/24/2016 00:00:00,Theater,1.TOP 50,2,"1,122",1,"5,694","3,554,923"
1,Unknown,"10,192,422",01/06/2016 00:00:00,Theater,3.100-200,2,202,1,"22,330","4,644,215"
18,Unknown,"679,458",01/05/2016 00:00:00,Theater,1.TOP 50,2,590,1,"58,619","6,648,131"
8,Paid Search,"25,980,654",01/30/2016 00:00:00,Theater,6.>1000,2,198,1,"2,458","375,230"
17,Unknown,"1,823,193",01/28/2016 00:00:00,Theater,6.>1000,2,293,1,"3,883","679,571"
3,SEO,"576,912",01/28/2016 00:00:00,Theater,6.>1000,2,303,1,"64,601","19,246,601"
5,Unknown,"576,912",01/17/2016 00:00:00,Theater,1.TOP 50,2,246,1,"65,854","19,763,389"
11,Paid Search,"576,912",01/26/2016 00:00:00,Theater,3.100-200,3,541,1,"64,694","19,275,799"
40,SEO,"1,351,969",01/24/2016 00:00:00,Theater,5.600-1000,2,258,1,"4,973","622,508"
6,Paid Search,"1,351,969",01/18/2016 00:00:00,Theater,4.200-600,6,436,1,"5,048","630,132"
7,SEO,"31,518,935",01/24/2016 00:00:00,Theater,5.600-1000,3,320,1,"2,387","478,412"
117,Unknown,"31,244,435",01/11/2016 00:00:00,Theater,3.100-200,2,384,1,"5,627","1,187,956"
124,Unknown,"1,000,536",01/31/2016 00:00:00,Theater,1.TOP 50,4,"1,579",1,"4,551","1,523,649"
152,Paid Search,"1,000,536",01/17/2016 00:00:00,Theater,1.TOP 50,5,"2,559",1,"4,457","1,506,813"
5,Paid Search,"1,373,280",01/04/2016 00:00:00,Theater,6.>1000,2,321,1,"2,291","577,117"
0,Unknown,"11,362,092",01/17/2016 00:00:00,Theater,4.200-600,4,295,1,"113,519","6,742,385"
9,Paid Search,"11,362,092",01/29/2016 00:00:00,Theater,5.600-1000,3,250,1,"113,475","6,737,282"
5,SEO,"3,805,663",01/12/2016 00:00:00,Theater,6.>1000,3,194,1,"6,885","793,256"
11,Paid Search,"3,805,663",01/06/2016 00:00:00,Theater,6.>1000,3,194,1,"6,907","796,052"
24,SEO,"3,298,116",01/29/2016 00:00:00,Theater,4.200-600,2,283,1,"5,344","729,122"
2,SEO,"17,504,430",01/30/2016 00:00:00,Theater,1.TOP 50,1,588,1,"38,112","12,824,688"
3,Unknown,"17,504,430",01/04/2016 00:00:00,Theater,1.TOP 50,2,"1,116",1,"38,794","13,048,273"
35,SEO,"1,756,997",01/15/2016 00:00:00,Theater,1.TOP 50,2,"1,049",1,"33,774","12,095,880"
2,Paid Search,"1,756,997",01/22/2016 00:00:00,Theater,1.TOP 50,2,161,1,"33,918","12,063,033"
88,Unknown,"79,260,937",01/04/2016 00:00:00,Theater,6.>1000,2,321,1,"1,898","359,919"
87,Paid Search,"79,505,762",01/11/2016 00:00:00,Theater,1.TOP 50,2,654,1,"3,565","1,015,984"
96,SEO,"7,700,938",01/16/2016 00:00:00,Theater,1.TOP 50,3,911,1,"502,289","54,966,537"
96,Unknown,"7,700,938",01/28/2016 00:00:00,Theater,1.TOP 50,2,607,1,"502,662","55,072,493"
15,Paid Search,"16,324,604",01/23/2016 00:00:00,Theater,4.200-600,3,117,1,"28,707","2,302,439"
5,Unknown,"1,045,828",01/11/2016 00:00:00,Theater,3.100-200,2,244,1,"187,048","15,714,669"
7,Unknown,"1,045,828",01/08/2016 00:00:00,Theater,4.200-600,3,219,1,"186,856","15,709,523"
25,Paid Search,"958,038",01/02/2016 00:00:00,Theater,4.200-600,2,179,1,"17,388","2,142,183"
1,Unknown,"25,172,984",01/02/2016 00:00:00,Theater,4.200-600,2,206,1,"10,500","936,471"
26,Paid Search,"31,486,953",01/20/2016 00:00:00,Theater,6.>1000,2,221,1,"2,284","213,418"
3,Paid Search,"569,200",01/17/2016 00:00:00,Theater,6.>1000,2,245,1,"4,775","1,023,872"
12,Unknown,"473,630",01/04/2016 00:00:00,Theater,2.50-100,2,91,1,"19,910","2,719,293"
2,SEO,"473,630",01/29/2016 00:00:00,Theater,3.100-200,2,330,1,"19,567","2,650,939"
52,Paid Search,"10,521,681",01/05/2016 00:00:00,Theater,3.100-200,4,642,1,"114,497","13,933,989"
32,SEO,"214,134",01/21/2016 00:00:00,Theater,4.200-600,2,494,1,"8,869","1,388,504"
23,Unknown,"1,178,940",01/14/2016 00:00:00,Theater,6.>1000,3,187,1,"4,667","392,948"
61,Paid Search,"13,136,407",01/05/2016 00:00:00,Theater,6.>1000,3,179,1,"3,745","492,567"
2,SEO,"78,883,461",01/15/2016 00:00:00,Theater,4.200-600,2,192,1,"4,696","654,241"
7,Paid Search,"32,628,772",01/08/2016 00:00:00,Theater,6.>1000,2,466,1,"15,644","1,376,157"
24,Unknown,"32,874,568",01/27/2016 00:00:00,Theater,4.200-600,2,320,1,"34,893","9,163,115"
36,Unknown,"418,362",01/14/2016 00:00:00,Theater,1.TOP 50,2,909,1,"4,397","1,487,064"
16,Unknown,"805,465",01/19/2016 00:00:00,Theater,1.TOP 50,1,348,1,"300,237","32,682,874"
65,Paid Search,"82,398,596",01/07/2016 00:00:00,Theater,3.100-200,3,302,1,"21,855","2,353,471"
33,SEO,"572,829",01/18/2016 00:00:00,Theater,3.100-200,2,281,1,"6,416","695,508"
2,Unknown,"357,984",01/22/2016 00:00:00,Theater,4.200-600,2,117,1,"414,921","59,832,747"
6,SEO,"357,984",01/17/2016 00:00:00,Theater,3.100-200,2,145,1,"410,147","58,757,884"
2,Paid Search,"357,984",01/29/2016 00:00:00,Theater,6.>1000,6,373,1,"418,118","60,237,202"
3,Paid Search,"357,984",01/08/2016 00:00:00,Theater,5.600-1000,2,110,1,"406,292","58,074,819"
12,SEO,"1,045,828",01/20/2016 00:00:00,Theater,4.200-600,2,225,1,"187,850","15,759,992"
88,Unknown,"5,465,131",01/27/2016 00:00:00,Theater,3.100-200,2,237,1,"1,709","285,354"
1,Paid Search,"318,985",01/31/2016 00:00:00,Theater,5.600-1000,2,181,1,"2,039,038","213,077,180"
104,Paid Search,"318,985",01/11/2016 00:00:00,Theater,1.TOP 50,4,629,1,"2,047,218","213,612,617"
40,Unknown,"318,985",01/06/2016 00:00:00,Theater,3.100-200,2,438,1,"2,049,716","213,915,767"
39,Unknown,"318,985",01/04/2016 00:00:00,Theater,3.100-200,2,181,1,"2,051,042","213,888,940"
35,Paid Search,"318,985",01/09/2016 00:00:00,Theater,4.200-600,4,656,1,"2,048,143","213,747,704"
59,Paid Search,"318,985",01/20/2016 00:00:00,Theater,2.50-100,2,99,1,"2,045,802","214,180,432"
7,Paid Search,"318,985",01/16/2016 00:00:00,Theater,6.>1000,1,72,1,"2,044,429","213,438,178"
42,Paid Search,"28,930,123",01/25/2016 00:00:00,Theater,4.200-600,12,"1,528",1,"26,708","4,935,593"
22,SEO,"3,805,663",01/09/2016 00:00:00,Theater,6.>1000,3,202,1,"6,892","794,317"
100,Paid Search,"340,711",01/01/2016 00:00:00,Theater,6.>1000,3,425,1,"72,484","6,071,370"
2,Unknown,"340,711",01/28/2016 00:00:00,Theater,4.200-600,3,225,1,"69,479","5,889,957"
132,Unknown,"340,711",01/11/2016 00:00:00,Theater,3.100-200,3,566,1,"71,182","5,951,510"
6,Unknown,"340,711",01/26/2016 00:00:00,Theater,4.200-600,5,299,1,"69,612","5,893,528"
79,Unknown,"3,161,264",01/08/2016 00:00:00,Theater,4.200-600,2,239,1,"11,822","1,825,321"
12,Unknown,"32,703,259",01/20/2016 00:00:00,Theater,4.200-600,2,211,1,"6,792","1,164,131"
12,Paid Search,"651,296",01/18/2016 00:00:00,Theater,1.TOP 50,2,"1,608",1,"4,545","2,955,775"
12,Unknown,"651,296",01/11/2016 00:00:00,Theater,5.600-1000,2,375,1,"4,577","2,982,995"
74,SEO,"81,255,709",01/05/2016 00:00:00,Theater,6.>1000,3,381,1,871,"108,164"
97,Paid Search,"25,450,004",01/17/2016 00:00:00,Theater,4.200-600,2,158,1,"89,961","7,630,460"
14,Paid Search,"36,970,535",01/04/2016 00:00:00,Theater,1.TOP 50,2,713,1,612,"85,687"
2,Unknown,"7,754,263",01/29/2016 00:00:00,Theater,3.100-200,2,426,1,"1,781","205,814"
1,Unknown,"7,754,263",01/16/2016 00:00:00,Theater,4.200-600,2,237,1,"1,911","225,981"
11,SEO,"10,679,305",01/27/2016 00:00:00,Theater,3.100-200,2,384,1,"60,535","5,223,383"
15,Unknown,"10,679,305",01/08/2016 00:00:00,Theater,5.600-1000,2,246,1,"60,134","5,127,402"
238,Unknown,"15,993,366",01/24/2016 00:00:00,Theater,6.>1000,3,323,1,"8,924","1,373,485"
2,Paid Search,"16,468,864",01/30/2016 00:00:00,Theater,1.TOP 50,1,"1,167",1,"5,211","4,978,336"
2,SEO,"889,597",01/08/2016 00:00:00,Theater,4.200-600,3,359,1,"114,028","15,705,712"
53,Unknown,"14,175,727",01/22/2016 00:00:00,Theater,6.>1000,3,472,1,"9,728","1,981,670"
1,Paid Search,"14,175,727",01/22/2016 00:00:00,Theater,4.200-600,2,110,1,"9,728","1,981,670"
22,Paid Search,"2,806,360",01/09/2016 00:00:00,Theater,6.>1000,2,682,1,"1,434","263,660"
89,Unknown,"10,630,096",01/25/2016 00:00:00,Theater,1.TOP 50,1,97,1,"1,538","450,250"
6,Unknown,"30,390,521",01/25/2016 00:00:00,Theater,6.>1000,2,139,0,31,"2,891"
3,Unknown,"9,370,069",01/08/2016 00:00:00,Theater,6.>1000,6,256,1,"11,737","1,279,054"
9,Paid Search,"9,370,069",01/07/2016 00:00:00,Theater,4.200-600,2,148,1,"11,814","1,287,195"
140,Paid Search,"30,325,578",01/01/2016 00:00:00,Theater,4.200-600,2,403,1,"5,609","1,032,427"
32,Paid Search,"36,576,322",01/09/2016 00:00:00,Theater,1.TOP 50,2,441,1,311,"51,070"
19,Unknown,"9,082,769",01/27/2016 00:00:00,Theater,4.200-600,2,87,1,"21,643","3,702,734"
6,Unknown,"79,741,054",01/11/2016 00:00:00,Theater,6.>1000,2,209,1,"3,729","1,258,593"
37,Paid Search,"1,203,536",01/21/2016 00:00:00,Theater,5.600-1000,2,541,1,163,"38,485"
1,Unknown,"14,175,727",01/22/2016 00:00:00,Theater,4.200-600,2,169,1,"9,728","1,981,670"
1,Unknown,"26,770,782",01/30/2016 00:00:00,Theater,3.100-200,2,162,1,"2,203","349,670"
63,Unknown,"4,001,509",01/02/2016 00:00:00,Theater,6.>1000,2,190,1,504,"86,398"
102,Unknown,"149,016",01/30/2016 00:00:00,Theater,4.200-600,2,473,1,"3,539","562,816"
23,Unknown,"11,741,196",01/21/2016 00:00:00,Theater,1.TOP 50,2,223,1,"78,450","9,039,169"
17,Paid Search,"1,756,997",01/29/2016 00:00:00,Theater,5.600-1000,3,581,1,"33,864","11,997,441"
6,SEO,"1,756,997",01/15/2016 00:00:00,Theater,1.TOP 50,2,161,1,"33,774","12,095,880"
8,Unknown,"1,756,997",01/05/2016 00:00:00,Theater,1.TOP 50,1,460,1,"33,579","12,164,292"
3,Unknown,"17,504,430",01/22/2016 00:00:00,Theater,4.200-600,2,181,1,"38,359","12,926,201"
11,Paid Search,"17,504,430",01/26/2016 00:00:00,Theater,1.TOP 50,4,"3,180",1,"38,299","12,891,561"
154,Unknown,"380,515",01/04/2016 00:00:00,Theater,1.TOP 50,2,"1,423",1,"1,850","247,069"
53,Unknown,"1,461,608",01/25/2016 00:00:00,Theater,1.TOP 50,1,356,1,"1,784","644,229"
20,Paid Search,"329,586",01/09/2016 00:00:00,Theater,6.>1000,2,212,1,"19,033","8,473,360"
77,SEO,"2,109,720",01/24/2016 00:00:00,Theater,1.TOP 50,2,684,1,"12,649","2,575,215"
13,SEO,"14,104,165",01/18/2016 00:00:00,Theater,6.>1000,2,156,1,"2,283","172,343"
25,SEO,"15,620,356",01/25/2016 00:00:00,Theater,6.>1000,2,301,1,"3,272","367,311"
21,Unknown,"25,172,984",01/25/2016 00:00:00,Theater,4.200-600,11,439,1,"10,750","970,029"
17,Paid Search,"79,011,993",01/23/2016 00:00:00,Theater,6.>1000,2,385,1,"1,616","337,674"
29,Paid Search,"76,389,137",01/31/2016 00:00:00,Theater,5.600-1000,2,253,1,"8,339","1,041,124"
211,Unknown,"4,346,690",01/07/2016 00:00:00,Theater,1.TOP 50,2,520,1,"1,401","237,618"
1,SEO,"563,970",01/01/2016 00:00:00,Theater,3.100-200,2,143,1,"5,420","440,649"
122,Unknown,"6,686,104",01/06/2016 00:00:00,Theater,3.100-200,2,326,1,"18,494","4,313,107"
65,Paid Search,"558,791",01/29/2016 00:00:00,Theater,3.100-200,9,475,1,"19,193","1,764,225"
9,Paid Search,"28,930,123",01/07/2016 00:00:00,Theater,2.50-100,2,96,1,"27,025","4,975,792"
8,SEO,"25,172,984",01/23/2016 00:00:00,Theater,6.>1000,1,21,1,"10,768","968,954"
40,SEO,"28,286,996",01/05/2016 00:00:00,Theater,6.>1000,4,280,1,201,"18,731"
6,Paid Search,"16,306,409",01/12/2016 00:00:00,Theater,5.600-1000,3,"1,006",0,235,"72,951"
64,Paid Search,"79,011,993",01/02/2016 00:00:00,Theater,6.>1000,2,438,1,"1,664","337,456"
2,SEO,"1,917,852",01/14/2016 00:00:00,Theater,1.TOP 50,4,755,1,"5,267","1,454,516"
2,Paid Search,"12,203,671",01/15/2016 00:00:00,Theater,3.100-200,4,424,1,"15,387","2,806,255"
3,Unknown,"1,274,898",01/14/2016 00:00:00,Theater,6.>1000,3,112,1,"25,225","2,162,036"
2,SEO,"1,274,898",01/11/2016 00:00:00,Theater,1.TOP 50,4,398,1,"25,512","2,181,066"
4,SEO,"1,274,898",01/20/2016 00:00:00,Theater,4.200-600,2,111,1,"25,235","2,171,551"
65,Unknown,"1,274,898",01/07/2016 00:00:00,Theater,3.100-200,4,239,1,"25,794","2,199,974"
46,Unknown,"1,274,898",01/13/2016 00:00:00,Theater,4.200-600,2,329,1,"25,330","2,167,866"
89,SEO,"1,274,898",01/19/2016 00:00:00,Theater,4.200-600,2,174,1,"25,253","2,170,242"
13,Unknown,"1,274,898",01/22/2016 00:00:00,Theater,6.>1000,3,127,1,"25,051","2,160,045"
1,Paid Search,"26,280,190",01/01/2016 00:00:00,Theater,1.TOP 50,3,706,1,130,"21,024"
83,Unknown,"971,534",01/11/2016 00:00:00,Theater,3.100-200,2,383,1,995,"330,481"
28,Paid Search,"13,892,776",01/24/2016 00:00:00,Theater,4.200-600,2,224,1,"5,736","979,134"
17,Unknown,"8,055,227",01/19/2016 00:00:00,Theater,6.>1000,2,87,1,"21,906","2,468,663"
98,Unknown,"1,853,950",01/17/2016 00:00:00,Theater,4.200-600,2,"1,030",1,"2,675","717,243"
81,SEO,"1,400,109",01/29/2016 00:00:00,Theater,1.TOP 50,2,"1,074",1,"8,123","3,450,241"
35,Unknown,"28,071,598",01/27/2016 00:00:00,Theater,1.TOP 50,2,"1,435",1,"1,882","1,071,526"
47,Paid Search,"2,084,363",01/30/2016 00:00:00,Theater,1.TOP 50,2,"1,105",1,"46,953","8,163,135"
